duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
333,icmp,private,S0,15693,87,0,0,0,2,2,0,3,0,0,3,0,0,1,0,0,0,491,358,0.7559429637978975,0.8626728012254289,0.6439368576313357,0.8711567595836217,0.2786745814724957,0.7152674860491681,0.04967201330347431,233,27,0.2611779218839371,0.9792626932513488,0.02762631435388738,0.08574270277633439,0.6686573520909587,0.5934695565697239,0.003304066241588166,0.021374218027514387,satan
291,icmp,eco_i,RSTO,41218,12,0,0,0,5,3,0,2,0,0,2,0,0,1,0,0,0,365,290,0.9927417606561614,0.6432607136075051,0.6070675182977956,0.781380145879525,0.23801913672159924,0.5968201010310916,0.09327672904145494,185,11,0.29925802729492,0.8698430763612421,0.10267108057014804,0.06859068226598829,0.5666703608649676,0.7062393737840189,0.03545561072591244,0.027957216235196515,guess_passwd
3,tcp,finger,SF,1154,4789,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,14,0.02414100662908927,0.009607713217210068,0.01900408884921532,0.005463719933085931,0.8555433031658407,0.08173633017992205,0.028674392475714718,158,226,0.9628418460510262,0.07650339979434917,0.5245141492930121,0.02969765085697681,0.018242157857997994,0.01693003426414988,0.035847245308964895,0.024131690978107835,normal
0,udp,smtp,SF,1251,2530,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,28,3,0.030713129366202886,0.022010157274543907,0.0758255782004861,0.01292659458953991,0.8698716091489267,0.07209685900600826,0.0216338810135708,223,251,0.8302289878656258,0.14448163941067033,0.8891119327934387,0.026300963694954896,0.016968601307112825,0.019582923404470272,0.024011107403059492,0.019990959167061614,normal
4,tcp,finger,SF,195,2211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0.060227485534779295,0.06258432873769863,0.0014975605936593972,0.09027264787666993,0.9398737359724091,0.16370347805089233,0.09095212563051536,104,254,0.9076086423195351,0.08597699136443178,0.9357759067136271,0.04111606780970959,0.015710797616322377,0.0281708311415704,0.021706352970837384,0.0025871011695502545,normal
447,tcp,private,RSTO,31732,69,0,1,0,5,3,0,2,0,0,3,0,0,2,0,0,0,497,262,0.6232634210036664,0.9788797261002794,0.9375000707539182,0.8929353490142806,0.1506569640023694,0.8375382128580877,0.07470863392197864,185,12,0.20647840203887477,0.9614353708949837,0.11298569816729971,0.04743821564773887,0.5630476700806801,0.8892951035320633,0.008204073449091088,0.03653895039197016,smurf
23,icmp,eco_i,REJ,25680,211,0,1,0,5,3,0,2,0,0,1,0,0,0,0,0,0,481,173,0.8304898718882204,0.8987653166854168,0.953803805244676,0.6308178103923341,0.10356504744137837,0.7859982538608831,0.09013676440564006,56,35,0.08510380623252978,0.9336119567045497,0.12371284096149261,0.07486916307744314,0.6085418848139394,0.8201539581867398,0.036348765758787635,0.016492526350586834,guess_passwd
3,tcp,smtp,SF,1767,2627,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,13,0.044045234521626675,0.04325784299581542,0.03827105435976298,0.0017293024414783088,0.9142232203744318,0.14043139905649688,0.09428396785279079,228,143,0.8011059612203411,0.1849696923212707,0.7718385618168451,0.061149674429448776,0.01797173750042317,0.0404032677962652,0.010206273978509746,0.01961692537054325,normal
133,icmp,telnet,RSTO,38227,228,0,0,0,7,4,0,2,0,0,2,0,0,0,0,0,0,331,198,0.8480913356052608,0.8186014474594587,0.9740337220932548,0.7445693635326651,0.2291257487135618,0.7782607728570212,0.02009282655734931,121,14,0.26192885260767157,0.7627153845784329,0.0829684342340416,0.08159951295516771,0.5150829428527701,0.623875445245692,0.04650796664840696,0.017315546331203108,smurf
2,tcp,http,SF,1418,4469,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0.08745055991131784,0.04924998486780927,0.07924668810386103,0.011906128738229917,0.8516816817134626,0.09994037193925671,0.06448016528344996,191,174,0.9343104391837613,0.06287692844688442,0.548662821439821,0.06590126278649572,0.036105776999664746,0.039085343500576304,0.03772950839154276,0.022985618166799972,normal
297,icmp,telnet,S0,27924,178,0,0,0,3,2,0,4,0,0,3,0,0,0,0,0,0,261,184,0.889079331651222,0.7074280424572166,0.9044658813799562,0.9754720861208566,0.28862898600431136,0.8066764396079099,0.06175224550669062,149,15,0.24366774775662817,0.4517867644052637,0.2652250043169446,0.029542292572012255,0.6389638494104133,0.5380109299247045,0.013249187206244184,0.03979886609899701,smurf
338,tcp,private,S0,24014,229,0,1,0,4,1,0,3,0,0,3,0,0,0,0,0,0,214,394,0.7219512795686095,0.9600695077755169,0.9248259864144273,0.8007550268338699,0.2347749902067621,0.5028422874085015,0.05638729386748196,189,33,0.10125798668588624,0.8769624017053248,0.27045281981093056,0.0801643732725707,0.5913354773748312,0.8109117454127759,0.02590905260649556,0.02590115836170962,portsweep
